Protein Name,SwissProt Acc. No.,M1,M2,M3,M4,M5,M6,M7,M8,M9,UM1,UM2,UM3,UM4,UM5,UM6,UM7,UM8,UM9,N,Log2 Fold Change,Fold Change,P Value
Histone deacetylase 2,Q92769,0.007,-0.019,-0.166,0.231,0.059,-0.101,,,,-0.151,-0.032,0.606,-0.047,0.192,-0.087,,,,12,0.10,1.1,0.55651
Histone deacetylase complex subunit SAP130,Q9H0E3,,,,-0.372,0.531,-0.093,0.664,-0.026,0.798,,,,0.824,0.904,0.638,-0.013,0.451,0.558,12,0.28,1.2,0.21781
Histone deacetylase complex subunit SAP18,O00422,0.590,0.351,0.058,0.191,0.230,-0.273,1.146,-0.276,0.468,-0.021,0.244,1.228,0.497,0.975,0.829,0.309,0.734,0.069,18,0.26,1.2,0.21554
Histone H1.0,P07305,,,,-0.333,-0.943,-0.651,,,,,,,-0.862,0.771,0.066,,,,6,0.76,1.7,0.27760
Histone H1.2,P16403,-0.082,-1.529,-2.694,-1.272,0.562,-3.226,1.381,-1.063,0.185,-3.242,0.542,0.756,-2.122,0.960,-1.151,-4.993,0.730,-2.488,18,0.02,1.0,0.68233
Histone H1.3,P16402,0.952,0.872,1.377,-0.114,0.258,0.311,-0.264,1.448,2.086,-4.181,1.231,-2.691,-0.247,-0.553,-2.094,-3.800,2.099,-4.007,18,-1.01,-2.0,0.01106
Histone H1.4,P10412,-1.138,-1.555,-1.668,-1.569,1.131,-3.655,0.475,-1.187,-0.708,-1.819,0.069,0.920,-2.057,1.742,-0.782,-1.876,-0.456,-1.439,18,0.51,1.4,0.47629
Histone H1.5,P16401,1.927,-3.819,0.625,-0.131,0.188,-2.939,-0.613,-0.507,-0.718,-0.118,-3.819,0.413,-3.041,0.798,0.333,-1.105,-0.546,-1.303,18,-0.45,-1.4,0.73934
Histone H1x,Q92522,-0.526,-1.389,-0.166,-3.422,-0.526,-1.509,0.426,-2.180,0.267,-3.131,-1.723,2.026,-1.323,1.534,0.337,-2.018,-0.689,-0.716,18,0.84,1.8,0.60362
Histone H2A type 1-B/E,P04908,,,,0.041,-0.504,-0.025,0.332,0.571,0.809,,,,-0.331,0.759,-0.424,-0.066,-0.014,-2.114,12,-0.42,-1.3,0.21862
Histone H2A type 2-C,Q16777,,,,,,,1.568,-0.902,1.116,,,,,,,-3.644,0.372,-2.523,6,-1.87,-3.7,0.14928
Histone H2A.V,Q71UI9,,,,-0.260,0.033,0.178,1.722,-0.245,0.074,,,,-0.194,0.484,0.126,-1.028,0.632,-0.789,12,-0.45,-1.4,0.37700
Histone H2A.x,P16104,0.844,0.858,-1.586,-0.076,0.242,-0.939,1.544,-4.092,1.080,-1.601,-0.777,0.858,-1.060,0.468,-0.037,-0.476,1.239,-0.700,18,-0.34,-1.3,0.99486
Histone H2A.Z,P0C0S5,-0.358,-3.351,-1.300,,,,,,,-2.955,-1.194,0.119,,,,,,,6,0.36,1.3,0.80736
Histone H2B type 1-A,Q96A08,,,,4.026,-1.035,0.332,,,,,,,0.000,-0.013,0.160,,,,6,-2.54,-5.8,0.52247
Histone H2B type 1-J,P06899,-0.730,-2.071,-2.582,,,,,,,-2.351,-1.009,0.970,,,,,,,6,1.40,2.6,0.42013
Histone H2B type 1-O,P23527,,,,,,,0.558,-0.306,-0.306,,,,,,,-1.181,0.199,-0.783,6,-0.51,-1.4,0.31846
Histone H2B type F-S,P57053,,,,-1.187,0.832,-2.517,1.321,-1.083,0.165,,,,-1.521,1.403,-0.536,-2.490,0.258,-1.696,12,-0.27,-1.2,0.67958
Histone H3.3,P84243,-0.279,-2.008,-1.532,-0.650,-0.251,-1.179,0.756,-0.824,-0.187,-2.106,-0.867,1.128,-3.775,0.826,-0.635,-1.900,-0.519,-2.990,18,0.02,1.0,0.40780
Histone H4,P62805,0.046,0.033,-0.060,-0.112,0.088,-0.072,0.344,-0.120,0.119,-0.127,-0.035,0.245,-0.098,0.314,-0.018,-0.200,0.079,-0.120,18,-0.02,-1.0,0.74541
Histone-binding protein RBBP4,Q09028,0.250,-0.215,-0.335,0.786,0.839,0.268,1.036,0.478,0.611,0.874,1.088,1.951,0.214,1.012,0.494,0.265,1.103,0.120,18,0.43,1.3,0.14951
Histone-binding protein RBBP7,Q16576,,,,0.724,0.697,0.762,1.071,0.898,0.406,,,,0.550,0.909,0.231,0.114,0.938,0.446,12,-0.21,-1.2,0.19898
Histone-lysine N-methyltransferase EHMT1,Q9H9B1,-0.289,-0.091,-0.025,0.671,-0.446,0.192,0.695,-0.341,0.244,0.348,0.374,0.015,-1.827,0.884,0.857,-0.554,0.589,-0.301,18,0.10,1.1,0.93813
Histone-lysine N-methyltransferase EHMT2,Q96KQ7,,,,0.370,-0.228,0.197,0.228,0.428,0.188,,,,0.250,0.397,0.555,0.201,0.321,0.175,12,0.11,1.1,0.30453
Histone-lysine N-methyltransferase SETD1A,O15047,0.043,-0.540,0.216,-0.954,-0.251,0.519,0.180,-0.138,-0.085,0.123,-0.594,0.482,0.174,-0.264,0.506,-0.098,-0.151,0.022,18,0.12,1.1,0.48240
Histone-lysine N-methyltransferase SETDB1,Q15047,,,,-0.160,0.080,0.027,,,,,,,0.080,-0.106,0.066,,,,6,0.03,1.0,0.75910
HIV Tat-specific factor 1,O43719,-0.128,-0.166,-0.645,-0.240,-0.480,-0.412,-0.802,-1.134,-0.178,-0.114,-0.512,-0.100,-0.200,-0.134,-0.200,-0.152,0.354,0.247,18,0.36,1.3,0.01776
"HLA class I histocompatibility antigen, A-3 alpha chain",P04439,-1.158,-3.015,-2.205,-4.720,-0.383,-1.061,-2.591,1.408,-3.837,-0.811,-1.569,-0.944,-1.730,-3.576,1.768,-1.662,-4.108,1.089,18,0.64,1.6,0.46289
"HLA class I histocompatibility antigen, A-74 alpha chain",P30459,-2.857,-3.756,-2.419,,,,,,,1.635,1.847,-6.381,,,,,,,6,4.07,16.8,0.49652
"HLA class I histocompatibility antigen, alpha chain E",P13747,-0.548,-0.309,1.033,-1.497,1.026,-0.422,,,,-0.243,-0.972,1.432,0.376,0.522,0.389,,,,12,0.28,1.2,0.49285
"HLA class I histocompatibility antigen, B-14 alpha chain",P30462,,,,,,,-0.346,-0.664,-0.559,,,,,,,-0.371,-0.466,-0.504,6,0.07,1.1,0.49878
"HLA class I histocompatibility antigen, B-53 alpha chain",P30491,,,,-0.546,1.169,-4.442,,,,,,,0.505,-3.900,-3.506,,,,6,-0.92,-1.9,0.66145
"HLA class I histocompatibility antigen, Cw-15 alpha chain",Q07000,,,,0.346,0.664,0.306,,,,,,,0.346,-0.943,-1.569,,,,6,-0.94,-1.9,0.11368
"HLA class I histocompatibility antigen, Cw-2 alpha chain",P30501,,,,,,,-1.608,-0.371,0.293,,,,,,,-0.466,-2.322,-1.023,6,-0.72,-1.6,0.41679
"HLA class I histocompatibility antigen, Cw-3 alpha chain",P04222,-3.523,0.478,1.169,,,,,,,0.598,-1.208,-1.621,,,,,,,6,-0.71,-1.6,0.94501
"HLA class I histocompatibility antigen, Cw-7 alpha chain",P10321,-0.519,-0.398,0.358,,,,,,,0.172,1.276,-0.226,,,,,,,6,0.68,1.6,0.32260
HLA class II histocompatibility antigen gamma chain,P04233,0.641,-1.085,0.017,-0.122,0.317,-0.785,0.131,-1.385,0.039,0.561,-3.218,0.721,-1.344,-1.117,0.689,-0.837,0.609,-0.919,18,0.00,1.0,0.56514
"HLA class II histocompatibility antigen, DM alpha chain",P28067,0.269,-0.077,-0.196,0.360,-1.049,-0.623,0.635,0.222,-0.243,0.388,-0.740,-0.316,-0.358,0.439,0.559,-0.388,0.209,-1.105,18,-0.05,-1.0,0.79735
"HLA class II histocompatibility antigen, DM beta chain",P28068,-0.074,0.086,0.153,0.697,-0.552,-0.234,0.932,-0.477,-0.531,0.099,-0.898,0.245,-0.897,0.246,0.351,-0.078,0.466,-0.701,18,-0.14,-1.1,0.61844
"HLA class II histocompatibility antigen, DO alpha chain",P06340,0.692,0.586,-0.582,0.398,-0.266,-0.227,0.890,0.491,0.703,0.533,-1.369,0.453,-0.293,0.345,0.358,-0.028,0.398,-2.140,18,-0.36,-1.3,0.18905
"HLA class II histocompatibility antigen, DO beta chain",P13765,1.005,1.018,0.633,1.332,0.242,-0.195,1.237,0.214,1.144,1.084,-0.976,1.165,0.070,1.186,1.293,0.852,0.466,0.015,18,-0.10,-1.1,0.60279
"HLA class II histocompatibility antigen, DP alpha 1 chain",P20036,0.566,-0.563,-1.147,-0.445,0.245,-1.816,0.037,-0.545,-1.553,1.045,-0.922,0.500,0.565,0.870,0.060,0.464,1.713,-0.638,18,0.99,2.0,0.02021
"HLA class II histocompatibility antigen, DP beta 1 chain",P04440,0.110,-0.143,-0.156,0.116,-0.069,0.023,,,,0.270,0.137,0.388,0.502,0.661,-0.627,,,,12,0.29,1.2,0.23656
"HLA class II histocompatibility antigen, DQ alpha 1 chain",P01909,2.223,0.070,-0.129,-4.062,1.867,-1.121,1.039,0.029,-0.727,-4.074,-1.297,-0.354,1.375,-1.841,0.219,-1.923,0.746,-2.727,18,-0.97,-2.0,0.25474
"HLA class II histocompatibility antigen, DQ beta 1 chain",P01920,0.101,-1.348,0.805,-2.375,0.362,-2.943,0.600,-1.261,-1.486,0.353,-2.501,-0.961,0.721,0.349,0.336,-0.317,0.440,-1.527,18,0.28,1.2,0.40898
"HLA class II histocompatibility antigen, DR alpha chain",P01903,1.056,-0.021,0.604,-0.649,0.799,-1.580,0.723,0.511,-0.246,0.511,-0.792,0.710,1.530,1.118,0.852,-1.124,2.225,-0.021,18,0.57,1.5,0.36500
"HLA class II histocompatibility antigen, DR beta 3 chain",P79483,,,,-2.400,0.589,-0.274,0.355,0.554,-2.624,,,,0.509,-0.607,0.655,-0.136,2.255,-1.932,12,0.82,1.8,0.38544
"HLA class II histocompatibility antigen, DR beta 4 chain",P13762,,,,,,,0.757,0.478,-0.253,,,,,,,-0.026,-0.824,-0.333,6,-0.74,-1.7,0.13070
"HLA class II histocompatibility antigen, DRB1-1 beta chain",P04229,-2.932,-2.548,1.010,,,,,,,2.604,0.132,0.904,,,,,,,6,1.97,3.9,0.13609
"HLA class II histocompatibility antigen, DRB1-11 beta chain",P20039,,,,,,,-0.466,-0.678,-0.531,,,,,,,-1.300,2.033,-1.648,6,1.24,2.4,0.83997
"HLA class II histocompatibility antigen, DRB1-13 beta chain",Q5Y7A7,,,,0.104,0.556,-0.508,-0.716,-0.038,0.467,,,,-0.599,-0.706,0.210,-0.476,0.016,-0.198,12,-0.30,-1.2,0.31641
"HLA class II histocompatibility antigen, DRB1-7 beta chain",P13761,-1.230,-2.727,-3.069,-1.756,-1.065,-0.839,,,,-3.861,0.960,4.215,-0.693,0.037,-1.397,,,,12,3.48,11.1,0.18262
HMG box transcription factor BBX,Q8WY36,,,,0.283,0.802,0.708,1.165,-0.058,0.766,,,,0.562,0.775,0.231,0.208,0.181,1.099,12,-0.11,-1.1,0.67216
HMG domain-containing protein 4,Q9UGU5,,,,0.066,0.199,-0.053,,,,,,,0.147,0.824,0.106,,,,6,0.32,1.3,0.30336
Homeobox protein PKNOX1,P55347,,,,-0.425,-0.146,-1.168,,,,,,,-0.546,0.452,-0.160,,,,6,0.49,1.4,0.30533
Host cell factor 1,P51610,0.520,0.055,-1.554,0.306,-0.303,-0.887,0.675,-0.733,0.409,-0.052,-0.197,0.228,-0.411,0.453,-0.158,-0.999,0.343,-0.695,18,-0.09,-1.1,0.99309
Hsc70-interacting protein,P50502,0.051,0.595,-1.626,-0.211,-0.437,-0.729,-0.689,-0.052,-0.874,-0.228,0.954,-1.757,0.240,-0.729,-0.145,-0.211,0.120,-0.304,18,0.24,1.2,0.52209
Hsp70-binding protein 1,Q9NZL4,-0.296,-0.416,-0.216,-0.402,-0.402,0.076,-0.459,-0.484,0.034,-0.004,-0.269,-0.416,0.674,-1.373,-0.190,-0.803,-0.284,0.379,18,0.12,1.1,0.88629
Hsp90 co-chaperone Cdc37,Q16543,0.044,0.189,-0.555,0.104,-0.719,0.649,-1.277,0.437,-0.666,0.110,0.774,-1.673,0.145,0.052,-1.343,0.384,-0.280,0.291,18,0.08,1.1,0.93598
Huntingtin-interacting protein 1-related protein,O75146,-2.541,0.300,0.898,0.272,-0.792,-0.101,,,,-0.472,0.499,-0.151,-0.167,-0.273,-0.407,,,,12,-0.12,-1.1,0.75529
Huntingtin-interacting protein K,Q9NX55,,,,0.037,0.276,0.157,-1.006,0.203,-0.408,,,,0.223,-1.080,-0.149,0.203,-0.010,0.482,12,0.08,1.1,0.82507
"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",Q16836,0.893,-0.089,-3.955,0.472,0.857,-0.619,1.811,-0.527,0.402,0.814,-0.076,2.129,-1.775,0.710,0.072,-1.803,0.562,-0.728,18,0.02,1.0,0.91686
"Hydroxyacylglutathione hydrolase, mitochondrial",Q16775,,,,0.147,0.106,0.265,,,,,,,0.279,0.186,0.306,,,,6,0.08,1.1,0.23238
"Hydroxymethylglutaryl-CoA lyase, mitochondrial",P35914,1.937,0.090,-4.038,0.022,1.338,-0.522,1.774,-1.030,0.299,1.765,1.140,2.894,0.022,2.002,0.926,0.751,1.282,0.711,18,0.84,1.8,0.07107
Hydroxysteroid dehydrogenase-like protein 2,Q6YN16,-0.048,-0.778,-0.473,-1.633,1.211,-0.796,0.285,-0.247,0.205,-0.924,-0.392,0.378,-1.554,0.307,0.228,-2.294,0.750,-0.937,18,-0.17,-1.1,0.58535
Hypoxanthine-guanine phosphoribosyltransferase,P00492,-0.119,0.626,0.626,0.018,-0.287,0.244,-2.012,1.269,-0.751,-0.052,0.187,-2.020,0.483,-0.659,-0.553,0.951,-0.457,0.247,18,-0.21,-1.2,0.70250
Hypoxia up-regulated protein 1,Q9Y4L1,-0.549,-0.232,-0.617,-0.431,0.193,-1.096,0.158,0.197,-0.320,0.685,-0.152,0.831,0.313,0.619,0.366,0.145,1.314,-1.529,18,0.69,1.6,0.07112
Ig delta chain C region,P01880,-1.498,-2.936,1.823,-3.170,0.462,-1.758,0.121,-1.397,-0.478,-3.054,0.083,0.866,-0.296,0.913,-0.867,-1.369,-1.062,-0.530,18,-0.03,-1.0,0.57178
Ig kappa chain C region,P01834,-3.046,1.702,2.247,-0.193,-3.009,-0.193,1.441,1.149,-2.891,-2.925,-4.399,2.220,0.617,1.415,-2.838,0.989,-2.345,-2.546,18,-0.39,-1.3,0.47754
Ig kappa chain V-I region Walker,P04431,,,,-2.059,-1.742,-1.889,,,,,,,-2.336,-1.821,-2.737,,,,6,-0.36,-1.3,0.22540
Ig kappa chain V-I region WEA,P01610,,,,,,,-0.584,2.339,-2.617,,,,,,,2.817,-0.571,-4.966,6,0.40,1.3,0.82819
Ig kappa chain V-III region GOL,P04206,-5.158,-3.381,-2.388,,,,,,,-3.900,-6.265,2.498,,,,,,,6,4.18,18.2,0.71187
Ig kappa chain V-III region WOL,P01623,,,,-5.059,-3.680,-2.737,,,,,,,3.056,3.627,-1.955,,,,6,6.34,81.1,0.04651
Ig lambda chain V-I region BL2,P06316,,,,-0.092,1.316,-0.546,,,,,,,-0.798,0.744,4.584,,,,6,2.67,6.4,0.49099
Ig lambda-2 chain C regions,P0CG05,0.526,-3.582,-3.031,-2.629,1.618,-1.955,-1.981,-3.561,0.274,2.439,1.642,-5.404,-3.225,-3.395,2.176,-2.586,-0.004,0.448,18,1.24,2.4,0.54166
Ig mu chain C region,P01871,-0.879,-0.017,-0.031,-0.318,-1.913,-0.611,-0.941,-1.005,-0.967,0.594,-0.973,-0.071,-1.048,1.569,0.944,0.295,1.531,-0.290,18,1.20,2.3,0.01548
IgG receptor FcRn large subunit p51,P55899,,,,,,,0.558,-0.385,0.358,,,,,,,-1.168,0.664,0.877,6,0.14,1.1,0.94445
Immunoglobulin-binding protein 1,P78318,-0.161,0.144,0.197,0.023,-0.442,-0.070,-0.512,0.113,0.007,-0.055,-0.042,-0.334,0.222,0.141,-0.124,0.233,-0.245,0.153,18,0.07,1.0,0.51388
Importin subunit alpha-1,P52294,,,,-0.114,-0.339,-0.047,-1.333,-0.099,0.646,,,,-0.008,-0.407,0.032,0.299,-0.762,0.367,12,0.08,1.1,0.67911
Importin subunit alpha-3,O00505,-0.173,-1.329,-0.385,,,,,,,0.943,-0.358,-0.930,,,,,,,6,0.65,1.6,0.47860
Importin subunit alpha-4,O00629,-0.365,-0.510,0.034,0.344,-0.572,-0.028,-0.257,-0.404,-0.205,-0.085,-0.497,-0.259,-0.440,-1.024,0.037,-0.005,-1.416,0.605,18,-0.05,-1.0,0.58350
Importin subunit alpha-7,O60684,0.160,0.372,0.213,,,,,,,0.225,-0.053,-0.253,,,,,,,6,-0.26,-1.2,0.14597
Importin subunit beta-1,Q14974,-0.265,-0.744,1.170,-0.167,-0.194,0.005,-1.350,0.034,-0.470,-0.505,-1.022,-1.447,0.285,-2.429,-0.313,-0.007,-2.077,1.057,18,-0.28,-1.2,0.27487
Importin-4,Q8TEX9,0.132,-0.292,0.638,,,,,,,0.147,-0.066,-0.371,,,,,,,6,-0.29,-1.2,0.45148
Importin-5,O00410,-0.332,-0.265,1.116,-0.010,0.135,0.772,-2.136,1.778,0.304,-0.093,-0.199,-0.611,0.082,-1.179,-0.183,0.848,-2.212,1.035,18,-0.49,-1.4,0.39523
Importin-7,O95373,0.570,0.263,1.313,-0.537,-0.618,0.473,-0.696,-0.430,0.140,-0.042,0.170,-4.699,-0.523,-0.722,-0.496,-0.125,-1.016,-0.297,18,-0.70,-1.6,0.11203
Inactive phospholipase C-like protein 2,Q9UPR0,-0.013,0.584,-0.041,0.158,0.239,0.065,-0.172,0.600,-0.277,0.265,0.624,-0.267,0.331,-0.027,0.385,0.573,0.082,0.346,18,0.12,1.1,0.36457
Inhibitor of growth protein 1,Q9UK53,,,,-0.321,-0.028,-0.479,0.666,-1.422,0.108,,,,-0.333,-0.028,0.079,-0.491,-0.038,0.068,12,0.01,1.0,0.69360
Inhibitor of growth protein 5,Q8WYH8,,,,,,,0.013,-0.053,-0.120,,,,,,,-0.053,-0.026,-0.213,6,-0.04,-1.0,0.56403
Inhibitor of nuclear factor kappa-B kinase subunit beta,O14920,-0.001,-0.122,0.238,-0.369,-0.144,0.375,-0.481,-0.200,-0.001,-0.560,-0.200,-0.772,-0.223,-0.436,-0.621,-0.453,-0.134,-0.147,18,-0.32,-1.3,0.01676
Inner nuclear membrane protein Man1,Q9Y2U8,-0.224,-0.184,-0.358,-0.387,-0.455,-0.215,,,,-0.395,0.174,-0.674,-0.175,-0.135,-0.295,,,,12,0.07,1.1,0.67357
INO80 complex subunit E,Q8NBZ0,,,,0.228,0.268,0.003,0.224,-0.547,0.210,,,,0.123,0.786,0.613,0.781,0.675,0.675,12,0.54,1.4,0.00751
Inorganic pyrophosphatase,Q15181,-0.571,0.106,0.452,0.270,-0.355,0.216,-1.041,0.580,-1.969,0.425,-0.359,-0.838,-0.261,-1.137,0.483,1.816,-0.417,0.248,18,0.35,1.3,0.53913
"Inorganic pyrophosphatase 2, mitochondrial",Q9H2U2,1.235,0.437,-1.584,0.265,0.451,-0.001,1.144,-0.530,-0.743,-2.788,-0.359,1.873,-1.089,-0.772,-0.041,-0.716,0.334,-0.677,18,-0.29,-1.2,0.30231
Inosine triphosphate pyrophosphatase,Q9BY32,,,,0.660,1.856,-2.263,-0.993,0.536,-0.114,,,,1.152,0.474,0.700,0.935,0.696,1.519,12,0.49,1.4,0.14159
Inosine-5'-monophosphate dehydrogenase 1,P20839,,,,0.186,-0.425,0.398,,,,,,,-0.199,-0.253,-0.637,,,,6,-0.44,-1.4,0.21449
Inosine-5'-monophosphate dehydrogenase 2,P12268,-0.173,-0.385,0.585,0.185,-0.545,-0.293,-2.195,0.213,-0.078,0.079,0.079,-1.543,-0.173,-0.133,-0.399,0.877,0.199,-0.373,18,0.11,1.1,0.67686
Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1,Q6PFW1,,,,0.147,0.346,0.358,,,,,,,-0.279,-0.837,-0.385,,,,6,-0.77,-1.7,0.01310
Inositol monophosphatase 1,P29218,0.326,0.765,0.193,0.080,-0.640,0.013,-2.026,0.192,0.192,0.220,-0.337,-3.390,-0.227,-1.182,-0.266,0.046,-0.326,-0.300,18,-0.45,-1.4,0.25312
Inositol monophosphatase 3,Q9NX62,,,,-0.160,-0.346,-0.279,,,,,,,-0.452,0.213,0.306,,,,6,0.32,1.2,0.31069
Inositol polyphosphate 1-phosphatase,P49441,0.129,-0.523,-0.750,0.045,0.070,0.350,,,,0.381,0.089,-0.044,-0.155,-0.699,-0.328,,,,12,-0.02,-1.0,0.95623
Insulin-like growth factor 2 mRNA-binding protein 3,O00425,,,,0.040,1.236,-0.160,,,,,,,0.160,0.132,-0.213,,,,6,-0.48,-1.4,0.48730
Integrator complex subunit 3,Q68E01,0.248,0.155,0.222,0.491,0.266,-0.081,0.191,-0.009,0.057,0.301,0.022,0.155,-0.332,0.983,-0.225,0.283,0.416,0.164,18,0.06,1.0,0.85894
Integrator complex subunit 5,Q6P9B9,,,,-0.186,-0.053,0.132,,,,,,,0.172,-0.292,0.066,,,,6,0.03,1.0,0.92004
Integrator complex subunit 9,Q9NV88,,,,0.824,-0.092,0.132,,,,,,,-0.692,0.704,0.877,,,,6,0.10,1.1,0.98870
Integrin alpha-IIb,P08514,-0.719,-0.547,-1.187,-2.068,0.987,2.528,1.221,-1.116,-0.586,-0.986,-1.383,0.369,-2.986,-2.468,-0.448,-1.514,-1.676,-0.784,18,-1.56,-3.0,0.06765
Integrin alpha-L,P20701,,,,0.850,0.704,1.515,0.014,0.425,0.333,,,,-1.514,-1.819,0.345,-0.041,0.531,-1.180,12,-1.06,-2.1,0.02251
Integrin alpha-M,P11215,0.387,0.931,0.905,1.196,1.741,3.349,1.513,1.939,0.370,0.452,0.572,1.196,-1.804,-0.625,0.585,0.596,0.370,-0.347,18,-1.37,-2.6,0.00971
Integrin beta-1,P05556,-2.700,0.384,-1.836,-2.478,0.392,0.670,0.647,0.076,-1.839,0.769,0.888,1.114,-1.002,1.269,-0.233,-0.084,1.033,-1.214,18,0.74,1.7,0.09184
Integrin beta-2,P05107,0.204,-0.501,0.921,0.520,-0.039,1.955,1.217,1.044,-2.319,-1.739,-0.806,0.668,-2.244,-0.583,-0.863,0.062,-0.483,-0.775,18,-1.23,-2.3,0.04635
Integrin beta-3,P05106,-1.946,-0.615,-1.820,-2.876,0.740,2.467,0.154,-1.386,-1.015,-3.605,-2.745,1.338,-5.454,-3.402,-0.867,-1.744,-3.035,-2.368,18,-1.38,-2.6,0.05416
Integrin-linked kinase-associated serine/threonine phosphatase 2C,Q9H0C8,0.525,0.552,0.179,0.401,0.242,0.242,0.363,0.403,0.310,0.565,0.512,-0.471,0.387,0.295,0.295,0.231,0.257,0.298,18,-0.08,-1.1,0.39506
Integrin-linked protein kinase,Q13418,0.086,-0.206,0.510,-2.298,0.172,2.152,0.088,0.566,-0.244,-0.313,-0.113,0.072,-0.027,-0.466,0.504,-0.031,-0.683,0.341,18,-0.51,-1.4,0.67643
Intercellular adhesion molecule 1,P05362,-1.315,-0.398,-0.318,,,,,,,-0.876,-0.333,-1.662,,,,,,,6,-0.25,-1.2,0.60629
Intercellular adhesion molecule 2,P13598,,,,-0.697,0.591,-0.007,0.086,-0.033,0.379,,,,-0.232,-0.113,0.140,-0.366,-0.099,-0.285,12,-0.26,-1.2,0.29910
Intercellular adhesion molecule 3,P32942,0.325,-0.020,-0.712,-1.659,0.376,-0.820,0.296,-0.103,0.177,-1.669,0.086,0.418,0.204,0.150,0.176,-0.673,-0.475,-0.794,18,-0.05,-1.0,0.88150
Interferon regulatory factor 2,P14316,1.090,1.369,0.824,1.446,1.128,0.398,1.024,1.303,0.586,0.918,0.824,0.785,0.836,1.035,0.968,0.864,0.917,1.117,18,-0.13,-1.1,0.42891
Interferon regulatory factor 2-binding protein 1,Q8IU81,,,,0.066,-0.120,0.160,,,,,,,0.531,0.385,0.119,,,,6,0.32,1.2,0.10109
Interferon regulatory factor 2-binding protein 2,Q7Z5L9,-0.378,-0.206,-0.086,-0.375,-0.057,-0.244,-0.201,-0.307,-0.759,-0.206,-0.471,-0.365,-0.230,0.009,-0.815,-0.361,0.223,-0.307,18,0.02,1.0,0.93422
Interferon regulatory factor 2-binding protein-like,Q9H1B7,,,,-0.753,-0.845,0.058,-1.361,0.487,0.833,,,,0.549,0.243,0.403,-0.589,-0.097,0.382,12,0.25,1.2,0.31476
Interferon regulatory factor 3,Q14653,0.409,0.463,-0.002,0.217,-0.075,-0.673,0.556,-0.042,-0.215,0.011,0.037,-1.742,0.271,-0.739,0.177,-0.135,-0.414,-0.574,18,-0.36,-1.3,0.10904
Interferon regulatory factor 4,Q15306,,,,-0.413,-0.134,-0.001,-0.463,-0.199,-0.251,,,,-0.307,-0.386,0.158,-0.159,-0.052,0.041,12,0.13,1.1,0.27921
Interferon regulatory factor 5,Q13568,,,,-0.425,-0.253,-0.199,,,,,,,-0.279,-0.692,0.372,,,,6,0.16,1.1,0.78476
Interferon regulatory factor 8,Q02556,-0.056,0.289,-0.573,0.930,-0.412,-1.062,-0.064,-0.344,0.268,0.769,-0.812,-0.003,-0.359,0.239,0.279,0.388,-0.702,0.069,18,0.07,1.1,0.70697
Interferon-induced 35 kDa protein,P80217,0.367,0.101,0.008,0.449,-0.548,0.223,0.115,0.154,0.367,0.141,-0.018,0.034,0.343,-0.123,0.289,0.486,0.048,-0.536,18,-0.06,-1.0,0.65666
Interferon-induced GTP-binding protein Mx1,P20591,-1.484,0.162,1.703,-1.667,-0.072,0.632,-0.209,0.255,-0.130,-0.396,0.574,-1.206,-0.072,0.898,-0.365,-0.011,-0.913,0.361,18,-0.21,-1.2,0.93205
Interferon-induced guanylate-binding protein 2,P32456,-0.330,0.227,0.108,0.102,0.913,-0.163,-1.926,0.719,0.122,0.706,-0.250,-1.566,0.448,-3.199,0.793,-0.171,-0.476,0.627,18,-0.11,-1.1,0.54441
"Interferon-induced, double-stranded RNA-activated protein kinase",P19525,-0.033,0.087,-0.086,0.064,-0.414,0.237,-0.988,0.435,-0.442,-0.352,0.007,-0.524,-0.308,-0.360,-0.122,0.115,-0.390,0.368,18,-0.07,-1.1,0.78648
Interferon-stimulated gene 20 kDa protein,Q96AZ6,-0.132,0.665,1.143,-0.105,-0.410,-0.252,-0.786,-1.023,-0.253,-0.106,-0.318,-2.680,-0.105,-0.544,-0.013,0.410,-0.094,0.318,18,-0.19,-1.1,0.57106
Interleukin enhancer-binding factor 2,Q12905,0.077,-0.268,-0.268,0.749,-1.472,-2.230,0.143,-1.889,-0.268,0.037,-1.158,-0.175,0.457,0.431,0.310,0.025,-0.309,0.543,18,0.42,1.3,0.12342
Interleukin enhancer-binding factor 3,Q12906,0.196,-0.748,0.036,0.238,-0.878,-1.358,0.138,-0.578,-0.354,0.182,-0.827,-0.615,-0.147,0.583,-0.213,-1.203,0.563,-0.340,18,0.16,1.1,0.61010
Interleukin-1 receptor-associated kinase 4,Q9NWZ3,,,,-0.092,-0.624,-0.624,,,,,,,-0.411,-0.265,-0.306,,,,6,0.10,1.1,0.54923
Intersectin-2,Q9NZM3,-0.016,-0.214,-0.202,-0.206,-0.179,-0.100,-0.469,-0.204,-0.204,-0.082,-0.056,-1.144,-0.352,-0.406,-0.472,-0.336,-0.150,-0.350,18,-0.15,-1.1,0.15461
Intron-binding protein aquarius,O60306,-0.240,-0.080,0.384,,,,0.135,-0.689,0.572,-0.041,-0.452,0.119,,,,0.399,0.399,-1.127,12,-0.10,-1.1,0.67547
Inverted formin-2,Q27J81,,,,-0.053,-0.559,1.900,,,,,,,-0.771,-0.346,-0.346,,,,6,-1.32,-2.5,0.29570
