"","Protein.Name","Accession.Number","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12"
"256","SUMO-activating enzyme subunit 2 OS=Homo sapiens GN=UBA2 PE=1 SV=2","sp|Q9UBT2|SAE2_HUMAN",1.02,1.23,1.01,NA,NA,NA,NA,NA,NA,1.49,1.46,NA
"257","ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1","sp|P36542|ATPG_HUMAN",0.92,0.88,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2","sp|P07737|PROF1_HUMAN",1.02,1.09,1.01,1.16,1.04,0.88,1.22,0.61,0.82,1,0.96,NA
"259","Malate dehydrogenase, mitochondrial OS=Homo sapiens GN=MDH2 PE=1 SV=3","sp|P40926|MDHM_HUMAN",1.01,1.11,1.01,1.03,1.08,1.03,0.95,0.74,0.97,0.98,0.91,NA
"260","60S ribosomal protein L14 OS=Homo sapiens GN=RPL14 PE=1 SV=4","sp|P50914|RL14_HUMAN",0.93,0.93,1.01,1.06,1.12,1.02,NA,NA,NA,NA,NA,NA
"261","Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens GN=PDHB PE=1 SV=3","sp|P11177|ODPB_HUMAN",0.81,0.89,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLST PE=1 SV=3","sp|P36957|ODO2_HUMAN",1.13,0.97,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2","sp|P04075|ALDOA_HUMAN",0.91,1.01,1.01,0.91,1.02,1.01,0.84,0.87,0.85,0.99,1.08,NA
"264","Ig mu chain C region OS=Homo sapiens GN=IGHM PE=1 SV=3","sp|P01871|IGHM_HUMAN",1.16,1.03,1.01,NA,NA,NA,NA,NA,NA,1.49,0.84,NA
"265","Interleukin enhancer-binding factor 2 OS=Homo sapiens GN=ILF2 PE=1 SV=2","sp|Q12905|ILF2_HUMAN",0.94,1.35,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1","sp|P17987|TCPA_HUMAN",1.04,1.17,1.01,1.03,1,1.04,NA,NA,NA,1.17,1.06,NA
"267","60S ribosomal protein L7 OS=Homo sapiens GN=RPL7 PE=1 SV=1","sp|P18124|RL7_HUMAN",1.16,0.97,1.01,NA,NA,NA,NA,NA,NA,0.72,0.73,NA
"268","14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3","sp|P31946|1433B_HUMAN",0.97,0.99,1.01,1.03,0.94,1.03,1.07,0.97,1.01,0.89,1.02,NA
"269","Bcl-2-associated transcription factor 1 OS=Homo sapiens GN=BCLAF1 PE=1 SV=2","sp|Q9NYF8|BCLF1_HUMAN",1.24,0.76,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Citrate synthase, mitochondrial OS=Homo sapiens GN=CS PE=1 SV=2","sp|O75390|CISY_HUMAN",0.97,0.98,1.01,0.89,0.85,0.86,0.88,0.83,1.03,1.01,0.94,NA
"271","Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens GN=UBE2L3 PE=1 SV=1","sp|P68036|UB2L3_HUMAN",1.06,1.08,1.01,NA,NA,NA,0.81,1.42,1,1.14,1.1,NA
"272","Stathmin OS=Homo sapiens GN=STMN1 PE=1 SV=3","sp|P16949|STMN1_HUMAN",1.06,1.05,1.01,1.07,1.31,1.14,0.76,1.13,0.97,NA,NA,NA
"273","Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=5","sp|P29692|EF1D_HUMAN",1.03,1.04,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1","sp|P62851|RS25_HUMAN",0.97,0.96,1,1.04,0.96,1.14,NA,NA,NA,NA,NA,NA
"275","L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2","sp|P07195|LDHB_HUMAN",1.08,1.11,1,1.02,0.97,0.94,0.93,0.72,0.83,0.94,0.94,NA
"276","Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1","sp|P60842|IF4A1_HUMAN",1.03,1.01,1,NA,NA,NA,NA,NA,NA,1.06,0.97,NA
"277","Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens GN=TMPO PE=1 SV=2","sp|P42167|LAP2B_HUMAN",0.96,0.98,1,NA,NA,NA,1.27,0.92,1.11,0.93,0.87,NA
"278","Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens GN=UBE2V1 PE=1 SV=2","sp|Q13404|UB2V1_HUMAN",0.99,0.94,1,1.07,0.89,0.99,1.1,1.03,1.08,1.19,1.09,NA
"279","Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4","sp|P55072|TERA_HUMAN",1.03,1.04,1,0.9,0.96,0.85,NA,NA,NA,0.91,0.98,NA
"280","Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=ECHS1 PE=1 SV=4","sp|P30084|ECHM_HUMAN",1.07,0.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Homo sapiens GN=GNB2L1 PE=1 SV=3","sp|P63244|GBLP_HUMAN",0.88,0.9,1,1.06,0.98,0.99,0.95,0.78,0.89,1.02,0.95,NA
"282","Cytosolic non-specific dipeptidase OS=Homo sapiens GN=CNDP2 PE=1 SV=2","sp|Q96KP4|CNDP2_HUMAN",1.04,1.16,1,NA,NA,NA,NA,NA,NA,1.19,1.1,NA
"283","Tubulin alpha-1A chain OS=Homo sapiens GN=TUBA1A PE=1 SV=1","sp|Q71U36|TBA1A_HUMAN",1.01,0.97,1,NA,NA,NA,NA,NA,NA,0.94,1.01,NA
"284","40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3","sp|P25398|RS12_HUMAN",1,0.93,1,NA,NA,NA,0.99,1.2,0.96,0.87,0.91,NA
"285","10 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPE1 PE=1 SV=2","sp|P61604|CH10_HUMAN",1,1.08,1,0.95,1.09,1.12,0.88,1.32,0.99,1.13,1.02,NA
"286","Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4","sp|O00299|CLIC1_HUMAN",1.02,1.08,1,0.98,1.05,1.01,0.83,1.06,0.91,0.91,0.95,NA
"287","Ribonuclease inhibitor OS=Homo sapiens GN=RNH1 PE=1 SV=2","sp|P13489|RINI_HUMAN",1.11,0.87,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 OS=Homo sapiens GN=GNG2 PE=1 SV=2","sp|P59768|GBG2_HUMAN",0.96,1.18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens GN=SH3BGRL PE=1 SV=1","sp|O75368|SH3L1_HUMAN",1.05,0.96,1,NA,NA,NA,NA,NA,NA,1.24,1.03,NA
"290","Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5","sp|P07900|HS90A_HUMAN",0.92,0.89,1,0.98,1.06,0.88,1.14,0.87,0.92,1.2,1.09,NA
"291","Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=1 SV=1","sp|P31948|STIP1_HUMAN",0.97,1.05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2","sp|P40939|ECHA_HUMAN",1.04,0.89,1,1.1,0.96,1.03,0.75,1.18,1.01,0.87,0.83,NA
"293","Phosphate carrier protein, mitochondrial OS=Homo sapiens GN=SLC25A3 PE=1 SV=2","sp|Q00325|MPCP_HUMAN",0.97,0.95,0.99,1.17,1.04,1.11,0.84,1.25,1.03,1.14,0.99,NA
"294","60S ribosomal protein L15 OS=Homo sapiens GN=RPL15 PE=1 SV=2","sp|P61313|RL15_HUMAN",0.95,0.87,0.99,NA,NA,NA,0.93,0.95,0.94,0.89,0.86,NA
"295","60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2","sp|P40429|RL13A_HUMAN",0.95,0.85,0.99,0.92,0.87,0.86,NA,NA,NA,NA,NA,NA
"296","Malate dehydrogenase, cytoplasmic OS=Homo sapiens GN=MDH1 PE=1 SV=4","sp|P40925|MDHC_HUMAN",1.07,0.87,0.99,0.93,1,0.99,NA,NA,NA,1.01,0.92,NA
"297","Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2","sp|O43707|ACTN4_HUMAN",0.97,0.94,0.99,1.18,1.1,1.28,NA,NA,NA,NA,NA,NA
"298","Nucleolar protein 58 OS=Homo sapiens GN=NOP58 PE=1 SV=1","sp|Q9Y2X3|NOP58_HUMAN",0.94,1,0.99,NA,NA,NA,1.12,1.05,1.18,NA,NA,NA
"299","Galectin-1 OS=Homo sapiens GN=LGALS1 PE=1 SV=2","sp|P09382|LEG1_HUMAN",1.31,1.25,0.99,1.11,1.2,1.37,1.07,2.82,1.7,0.8,1.25,NA
"300","Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2","sp|P18669|PGAM1_HUMAN",0.99,1.03,0.99,0.97,1.11,0.98,0.92,1,1,1.01,1.04,NA
"301","60S ribosomal protein L5 OS=Homo sapiens GN=RPL5 PE=1 SV=3","sp|P46777|RL5_HUMAN",1,0.93,0.99,1.07,1.12,0.92,0.87,0.93,0.99,0.91,0.94,NA
"302","Sulfide:quinone oxidoreductase, mitochondrial OS=Homo sapiens GN=SQRDL PE=1 SV=1","sp|Q9Y6N5|SQRD_HUMAN",1.13,1.04,0.99,0.98,1.06,1.04,1.05,1,1.18,NA,NA,NA
"303","Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5","sp|Q00610|CLH1_HUMAN",1.09,1.13,0.99,0.96,0.98,1.02,NA,NA,NA,1.24,0.95,NA
"304","Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3","sp|P30086|PEBP1_HUMAN",0.9,0.97,0.99,0.81,1.22,0.82,1.14,1.24,1.04,1.22,1.1,NA
"305","40S ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2","sp|P62241|RS8_HUMAN",0.93,0.92,0.99,0.95,0.95,0.92,NA,NA,NA,0.85,0.79,NA
"306","ATP synthase subunit g, mitochondrial OS=Homo sapiens GN=ATP5L PE=1 SV=3","sp|O75964|ATP5L_HUMAN",0.96,0.95,0.99,NA,NA,NA,0.82,0.87,0.89,NA,NA,NA
"307","Protein tyrosine phosphatase receptor type C-associated protein OS=Homo sapiens GN=PTPRCAP PE=1 SV=1","sp|Q14761|PTCA_HUMAN",0.96,1.01,0.99,0.81,0.86,0.72,0.8,0.7,0.91,0.92,0.84,NA
"308","Histidine triad nucleotide-binding protein 1 OS=Homo sapiens GN=HINT1 PE=1 SV=2","sp|P49773|HINT1_HUMAN",1.03,0.99,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","Annexin A11 OS=Homo sapiens GN=ANXA11 PE=1 SV=1","sp|P50995|ANX11_HUMAN",0.97,0.98,0.98,NA,NA,NA,NA,NA,NA,0.92,1.04,NA
"310","NHP2-like protein 1 OS=Homo sapiens GN=NHP2L1 PE=1 SV=3","sp|P55769|NH2L1_HUMAN",1.02,1.18,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","Ras-related protein Rab-1B OS=Homo sapiens GN=RAB1B PE=1 SV=1","sp|Q9H0U4|RAB1B_HUMAN",1.01,0.95,0.98,1.1,0.92,1.06,NA,NA,NA,NA,NA,NA
"312","Translin OS=Homo sapiens GN=TSN PE=1 SV=1","sp|Q15631|TSN_HUMAN",0.87,0.91,0.98,NA,NA,NA,1.18,1.38,1.19,1.11,0.98,NA
"313","60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2","sp|P62917|RL8_HUMAN",0.84,0.94,0.98,0.99,0.84,1.03,NA,NA,NA,1.16,1.05,NA
"314","Putative tropomyosin alpha-3 chain-like protein OS=Homo sapiens PE=5 SV=2","sp|A6NL28|TPM3L_HUMAN",0.93,0.82,0.98,1,0.92,0.96,0.81,0.9,0.89,0.98,0.92,NA
"315","Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=1 SV=3","sp|Q96AE4|FUBP1_HUMAN",1,1.09,0.98,0.87,1.03,0.87,1.13,1.15,1.13,1.1,1.15,NA
"316","Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRPDL PE=1 SV=3","sp|O14979|HNRDL_HUMAN",1.02,1.4,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","60S ribosomal protein L28 OS=Homo sapiens GN=RPL28 PE=1 SV=3","sp|P46779|RL28_HUMAN",0.86,0.77,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2","sp|Q09666|AHNK_HUMAN",1.01,1.07,0.98,1.34,1.08,1.26,1.04,1.36,1.29,1.1,1.2,NA
"319","Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3","sp|O15145|ARPC3_HUMAN",1.04,0.97,0.98,NA,NA,NA,0.91,0.83,0.99,0.98,1.12,NA
"320","Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3","sp|P10599|THIO_HUMAN",1.03,1.2,0.98,0.96,1.14,0.89,NA,NA,NA,0.84,0.97,NA
"321","Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2","sp|Q14974|IMB1_HUMAN",1.12,1.17,0.98,NA,NA,NA,NA,NA,NA,1.41,1.42,NA
"322","Extended synaptotagmin-1 OS=Homo sapiens GN=ESYT1 PE=1 SV=1","sp|Q9BSJ8|ESYT1_HUMAN",1.06,1.05,0.98,NA,NA,NA,0.84,1.69,1.26,NA,NA,NA
"323","Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3","sp|P04406|G3P_HUMAN",0.9,0.94,0.98,1.19,1.05,0.87,1.04,0.91,0.92,1.12,1.12,NA
"324","Hepatoma-derived growth factor-related protein 2 OS=Homo sapiens GN=HDGFRP2 PE=1 SV=1","sp|Q7Z4V5|HDGR2_HUMAN",1.07,0.9,0.98,NA,NA,NA,NA,NA,NA,0.96,0.97,NA
"325","Proteasome activator complex subunit 1 OS=Homo sapiens GN=PSME1 PE=1 SV=1","sp|Q06323|PSME1_HUMAN",1.03,1.06,0.98,0.95,0.96,0.93,1.1,0.98,1.04,0.87,1.02,NA
"326","40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2","sp|P62249|RS16_HUMAN",1.02,0.98,0.98,0.99,0.92,0.96,0.92,0.9,0.94,0.91,0.94,NA
"327","Heterochromatin protein 1-binding protein 3 OS=Homo sapiens GN=HP1BP3 PE=1 SV=1","sp|Q5SSJ5|HP1B3_HUMAN",0.98,0.91,0.98,0.94,1.02,0.9,1.05,1.07,0.94,1.14,1.22,1.07
"328","LIM and SH3 domain protein 1 OS=Homo sapiens GN=LASP1 PE=1 SV=2","sp|Q14847|LASP1_HUMAN",1.29,1.04,0.97,0.85,0.91,0.97,0.92,1.23,1.06,1.12,0.91,NA
"329","Nucleosome assembly protein 1-like 4 OS=Homo sapiens GN=NAP1L4 PE=1 SV=1","sp|Q99733|NP1L4_HUMAN",1.02,1.11,0.97,NA,NA,NA,NA,NA,NA,1.27,1.39,NA
"330","60S ribosomal protein L36 OS=Homo sapiens GN=RPL36 PE=1 SV=3","sp|Q9Y3U8|RL36_HUMAN",0.94,0.9,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","60S ribosomal protein L18a OS=Homo sapiens GN=RPL18A PE=1 SV=2","sp|Q02543|RL18A_HUMAN",0.88,0.86,0.97,NA,NA,NA,0.88,0.63,0.86,NA,NA,NA
"332","Isocitrate dehydrogenase [NADP], mitochondrial OS=Homo sapiens GN=IDH2 PE=1 SV=2","sp|P48735|IDHP_HUMAN",1,1.12,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","Tyrosine-protein kinase BAZ1B OS=Homo sapiens GN=BAZ1B PE=1 SV=2","sp|Q9UIG0|BAZ1B_HUMAN",1.14,0.74,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","Titin OS=Homo sapiens GN=TTN PE=1 SV=2","sp|Q8WZ42|TITIN_HUMAN",1.02,0.85,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1","sp|P25705|ATPA_HUMAN",0.97,0.93,0.97,0.93,0.95,1.04,1,1.08,1.04,0.95,0.93,NA
"336","Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2","sp|P23284|PPIB_HUMAN",1.08,0.96,0.97,0.81,NA,1,NA,NA,NA,NA,NA,0.84
"337","Programmed cell death 6-interacting protein OS=Homo sapiens GN=PDCD6IP PE=1 SV=1","sp|Q8WUM4|PDC6I_HUMAN",0.97,0.96,0.97,NA,NA,NA,NA,NA,NA,0.98,1.08,NA
"338","Elongation factor 1-beta OS=Homo sapiens GN=EEF1B2 PE=1 SV=3","sp|P24534|EF1B_HUMAN",1.05,1.08,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens GN=PGD PE=1 SV=3","sp|P52209|6PGD_HUMAN",0.95,0.99,0.97,1.06,0.97,0.99,NA,NA,NA,0.73,0.77,NA
"340","Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens GN=EIF5A PE=1 SV=2","sp|P63241|IF5A1_HUMAN",0.93,1.05,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens GN=GNAI2 PE=1 SV=3","sp|P04899|GNAI2_HUMAN",0.86,0.95,0.97,1.4,1.33,0.93,NA,NA,NA,NA,NA,NA
"342","Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2","sp|Q07065|CKAP4_HUMAN",1.11,1.01,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","Glyoxalase domain-containing protein 4 OS=Homo sapiens GN=GLOD4 PE=1 SV=1","sp|Q9HC38|GLOD4_HUMAN",1.01,1,0.96,NA,NA,NA,1.07,0.74,0.89,NA,NA,NA
"344","Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens GN=ARPC1B PE=1 SV=3","sp|O15143|ARC1B_HUMAN",0.98,0.97,0.96,NA,NA,NA,0.97,0.96,1.09,1.05,1.05,NA
"345","Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1","sp|O15144|ARPC2_HUMAN",1.05,0.96,0.96,1.09,0.96,1.01,0.99,0.79,0.96,0.88,0.84,NA
"346","40S ribosomal protein S3a OS=Homo sapiens GN=RPS3A PE=1 SV=2","sp|P61247|RS3A_HUMAN",0.96,0.97,0.96,0.9,0.68,0.84,1.21,0.97,1.01,0.99,0.99,NA
"347","Aspartate aminotransferase, mitochondrial OS=Homo sapiens GN=GOT2 PE=1 SV=2","sp|P00505|AATM_HUMAN",0.87,0.96,0.96,1.01,0.88,0.91,1.41,1.13,0.85,1.16,0.92,NA
"348","ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3","sp|P06576|ATPB_HUMAN",0.9,0.9,0.96,0.99,0.95,1.01,0.81,0.89,0.95,0.9,0.89,NA
"349","Small ubiquitin-related modifier 4 OS=Homo sapiens GN=SUMO4 PE=1 SV=2","sp|Q6EEV6|SUMO4_HUMAN",0.97,0.91,0.96,NA,NA,NA,NA,NA,NA,1.19,1.02,NA
"350","GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3","sp|P62826|RAN_HUMAN",1,0.95,0.96,1.13,0.84,0.9,0.94,0.88,0.95,1.08,1.13,NA
"351","Ubiquitin thioesterase OTUB1 OS=Homo sapiens GN=OTUB1 PE=1 SV=2","sp|Q96FW1|OTUB1_HUMAN",0.87,0.86,0.96,0.83,0.98,0.84,NA,NA,NA,NA,NA,NA
"352","Pre-mRNA-processing factor 19 OS=Homo sapiens GN=PRPF19 PE=1 SV=1","sp|Q9UMS4|PRP19_HUMAN",0.84,1.1,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","RNA-binding protein Raly OS=Homo sapiens GN=RALY PE=1 SV=1","sp|Q9UKM9|RALY_HUMAN",1.31,0.77,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","Grancalcin OS=Homo sapiens GN=GCA PE=1 SV=2","sp|P28676|GRAN_HUMAN",1.08,1.4,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","RNA-binding protein EWS OS=Homo sapiens GN=EWSR1 PE=1 SV=1","sp|Q01844|EWS_HUMAN",0.94,1.24,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","X-ray repair cross-complementing protein 6 OS=Homo sapiens GN=XRCC6 PE=1 SV=2","sp|P12956|XRCC6_HUMAN",0.78,1.03,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1","sp|P62829|RL23_HUMAN",1,0.95,0.96,0.94,0.97,0.95,1.07,0.69,1.01,1.15,0.88,NA
"358","Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2","sp|P07355|ANXA2_HUMAN",0.99,1.01,0.96,0.9,0.97,1.11,NA,NA,NA,1,1.09,NA
"359","60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2","sp|P10809|CH60_HUMAN",0.95,1.09,0.96,1.05,1.11,1.01,0.86,1.24,1,1.04,0.98,NA
"360","Putative 40S ribosomal protein S10-like OS=Homo sapiens GN=RPS10P5 PE=5 SV=1","sp|Q9NQ39|RS10L_HUMAN",0.93,0.81,0.96,NA,NA,NA,1.01,0.98,1.16,0.95,0.91,NA
"361","60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1","sp|P32969|RL9_HUMAN",1.02,0.97,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","Protein RCC2 OS=Homo sapiens GN=RCC2 PE=1 SV=2","sp|Q9P258|RCC2_HUMAN",0.91,1.07,0.95,0.84,NA,0.93,0.73,0.97,0.89,NA,NA,0.85
"363","Paraspeckle component 1 OS=Homo sapiens GN=PSPC1 PE=1 SV=1","sp|Q8WXF1|PSPC1_HUMAN",1.02,1.05,0.95,NA,NA,NA,1.01,1.25,1.14,NA,NA,NA
"364","60S ribosomal protein L26 OS=Homo sapiens GN=RPL26 PE=1 SV=1","sp|P61254|RL26_HUMAN",0.96,0.88,0.95,NA,NA,NA,0.73,0.71,0.87,0.96,0.98,NA
"365","Phosphoglucomutase-2 OS=Homo sapiens GN=PGM2 PE=1 SV=4","sp|Q96G03|PGM2_HUMAN",1.03,0.79,0.95,0.86,0.9,0.96,NA,NA,NA,NA,NA,NA
"366","60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3","sp|Q02878|RL6_HUMAN",0.76,1.17,0.95,NA,NA,NA,1.4,1.16,1.1,NA,NA,NA
"367","ES1 protein homolog, mitochondrial OS=Homo sapiens GN=C21orf33 PE=1 SV=3","sp|P30042|ES1_HUMAN",1.02,1.08,0.95,NA,NA,NA,NA,NA,NA,1.03,1.08,NA
"368","40S ribosomal protein S13 OS=Homo sapiens GN=RPS13 PE=1 SV=2","sp|P62277|RS13_HUMAN",0.88,1.4,0.95,0.85,0.89,0.94,0.99,0.86,1.03,1.64,1.58,NA
"369","Serpin B9 OS=Homo sapiens GN=SERPINB9 PE=1 SV=1","sp|P50453|SPB9_HUMAN",1,0.88,0.95,0.99,0.97,0.98,1.05,0.8,1.17,0.75,0.91,NA
"370","T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4","sp|P50991|TCPD_HUMAN",0.94,1.01,0.95,0.79,1.02,0.87,NA,NA,NA,NA,NA,NA
"371","Putative heterogeneous nuclear ribonucleoprotein A1-like 3 OS=Homo sapiens GN=HNRPA1L3 PE=5 SV=1","sp|P0C7M2|RA1L3_HUMAN",0.93,2.24,0.95,0.96,1.41,0.91,0.71,3.59,1.26,1.23,1.17,NA
"372","1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-2 OS=Homo sapiens GN=PLCG2 PE=1 SV=4","sp|P16885|PLCG2_HUMAN",1.22,1.01,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","Protein DJ-1 OS=Homo sapiens GN=PARK7 PE=1 SV=2","sp|Q99497|PARK7_HUMAN",0.93,1.02,0.95,1.12,1.02,1.04,1.08,1.05,0.93,0.88,1.15,NA
"374","Myotrophin OS=Homo sapiens GN=MTPN PE=1 SV=2","sp|P58546|MTPN_HUMAN",0.94,0.91,0.95,NA,NA,NA,1.11,0.77,0.78,NA,NA,NA
"375","60S ribosomal protein L23a OS=Homo sapiens GN=RPL23A PE=1 SV=1","sp|P62750|RL23A_HUMAN",1,0.85,0.95,NA,NA,NA,0.92,1.02,0.85,NA,NA,NA
"376","Calponin-2 OS=Homo sapiens GN=CNN2 PE=1 SV=4","sp|Q99439|CNN2_HUMAN",1.07,1.11,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","U6 snRNA-associated Sm-like protein LSm3 OS=Homo sapiens GN=LSM3 PE=1 SV=2","sp|P62310|LSM3_HUMAN",1.08,0.88,0.95,0.94,1.07,0.8,0.99,1.33,1.02,NA,NA,NA
"378","Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4","sp|P13639|EF2_HUMAN",1.03,1.02,0.95,0.96,0.96,0.96,0.82,0.59,0.81,0.98,0.95,NA
"379","40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=3","sp|P46781|RS9_HUMAN",1,1.11,0.94,0.97,0.95,1.03,NA,NA,NA,1.12,1.08,NA
"380","60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5","sp|P36578|RL4_HUMAN",0.96,0.97,0.94,NA,NA,NA,0.83,0.82,0.9,0.88,0.86,NA
"381","X-ray repair cross-complementing protein 6 OS=Homo sapiens GN=XRCC6 PE=1 SV=2","sp|P12956|XRCC6_HUMAN",1.03,0.95,0.94,1.11,1.19,1.02,1,0.86,1.02,1.01,1.04,NA
"382","ATP synthase subunit O, mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1","sp|P48047|ATPO_HUMAN",1.02,0.97,0.94,1.07,1.03,1.09,NA,NA,NA,1.08,0.98,NA
"383","60S ribosomal protein L35a OS=Homo sapiens GN=RPL35A PE=1 SV=2","sp|P18077|RL35A_HUMAN",1.04,0.92,0.94,1.01,1.12,1.21,0.93,1.08,0.88,0.86,0.94,NA
